"chemostat","time","prev0","logit_g","logit_prev"
"chem_epidemic_1",0,1,-0.0148537404711266,-4.60072460660011
"chem_epidemic_1",0.1,1,-0.0148043257362142,-4.59745511060637
"chem_epidemic_1",0.2,1,-0.00577147640092194,-4.57946916957104
"chem_epidemic_1",0.3,1,0.0159521561305414,-4.59392119700779
"chem_epidemic_1",0.4,1,0.00239877485434946,-4.59242218221421
"chem_epidemic_1",0.5,1,0.00541199896674394,-4.57503338537242
"chem_epidemic_1",0.6,1,0.00292482505565403,-4.58527559098102
"chem_epidemic_1",0.7,1,0.0110376851086974,-4.59929914335925
"chem_epidemic_1",0.8,1,0.019110128699167,-4.5891483465183
"chem_epidemic_1",0.9,1,0.0257739519035296,-4.58100768358251
"chem_epidemic_1",1,1,0.0401090091581089,-4.55695746500131
"chem_epidemic_1",1.1,1,0.0284604990143948,-4.55631903217545
"chem_epidemic_1",1.2,1,0.0470320995945906,-4.54435223180524
"chem_epidemic_1",1.3,1,0.0680907653104476,-4.5330264717072
"chem_epidemic_1",1.4,1,0.0909859112516796,-4.52235631891075
"chem_epidemic_1",1.5,1,0.102107474305122,-4.47800112625141
"chem_epidemic_1",1.6,1,0.139054091369732,-4.46584889545984
"chem_epidemic_1",1.7,1,0.159033145293098,-4.46078151393237
"chem_epidemic_1",1.8,1,0.198336819334475,-4.39914804387534
"chem_epidemic_1",1.9,1,0.25468012195751,-4.37012008104014
"chem_epidemic_1",2,1,0.274300336066281,-4.3289307131706
"chem_epidemic_1",2.1,1,0.34971369902114,-4.26641127929023
"chem_epidemic_1",2.2,1,0.416798379023301,-4.2131475100663
"chem_epidemic_1",2.3,1,0.469493322929801,-4.14116133402783
"chem_epidemic_1",2.4,1,0.549470922247335,-4.06320438669163
"chem_epidemic_1",2.5,1,0.610681002663742,-3.98889771277391
"chem_epidemic_1",2.6,1,0.697462421284502,-3.8707622420821
"chem_epidemic_1",2.7,1,0.776484796371923,-3.77692319189898
"chem_epidemic_1",2.8,1,0.858475863639163,-3.68166529550072
"chem_epidemic_1",2.9,1,0.929217226349567,-3.54249646890314
"chem_epidemic_1",3,1,1.02353187310836,-3.428946693496
"chem_epidemic_1",3.1,1,1.09936028668851,-3.30833145807914
"chem_epidemic_1",3.2,1,1.18467501827032,-3.16319834328098
"chem_epidemic_1",3.3,1,1.27707558909753,-3.02536133962155
"chem_epidemic_1",3.4,1,1.33697723177868,-2.88376869189464
"chem_epidemic_1",3.5,1,1.41492403379234,-2.73939857931618
"chem_epidemic_1",3.6,1,1.48532228638174,-2.59209123494006
"chem_epidemic_1",3.7,1,1.54757727466977,-2.4471968409448
"chem_epidemic_1",3.8,1,1.61861576448801,-2.29671233626192
"chem_epidemic_1",3.9,1,1.66692125508107,-2.14315585034729
"chem_epidemic_1",4,1,1.7212232957275,-1.99108878010401
"chem_epidemic_1",4.1,1,1.75847679354728,-1.83054968223989
"chem_epidemic_1",4.2,1,1.80647314362437,-1.68542017092982
"chem_epidemic_1",4.3,1,1.8417698772879,-1.49575554977674
"chem_epidemic_1",4.4,1,1.88574544389977,-1.35083667766771
"chem_epidemic_1",4.5,1,1.91985630004477,-1.22081638472386
"chem_epidemic_1",4.6,1,1.9253684687181,-1.06188574675087
"chem_epidemic_1",4.7,1,1.92343364568776,-0.91280271113391
"chem_epidemic_1",4.8,1,1.94636894294409,-0.753027317283558
"chem_epidemic_1",4.9,1,1.94796845034473,-0.617162003252214
"chem_epidemic_1",5,1,1.96446571949613,-0.472494441438746
"chem_epidemic_1",5.1,1,1.94191099759596,-0.337577105451882
"chem_epidemic_1",5.2,1,1.93607256598061,-0.203883110826884
"chem_epidemic_1",5.3,1,1.89620292029967,-0.0601169794496115
"chem_epidemic_1",5.4,1,1.84010575374117,0.0491804001240103
"chem_epidemic_1",5.5,1,1.81545697330511,0.187287653618548
"chem_epidemic_1",5.6,1,1.74957630876166,0.272711080951243
"chem_epidemic_1",5.7,1,1.69550171279167,0.405563000970961
"chem_epidemic_1",5.8,1,1.62530272807262,0.50807973166946
"chem_epidemic_1",5.9,1,1.54880112721576,0.612005760036588
"chem_epidemic_1",6,1,1.46488991383458,0.712905609460051
"chem_epidemic_1",6.1,1,1.40056323576253,0.800066721007446
"chem_epidemic_1",6.2,1,1.3060997205965,0.894971381550749
"chem_epidemic_1",6.3,1,1.18969869653927,0.979097030011797
"chem_epidemic_1",6.4,1,1.10760692389993,1.06781956281341
"chem_epidemic_1",6.5,1,1.02509019480153,1.16954657574734
