"chemostat","time","prev0","logit_q"
"chem_epidemic_1",0,1,NA
"chem_epidemic_1",0.1,1,1.66400139649937
"chem_epidemic_1",0.2,1,0.51665545027788
"chem_epidemic_1",0.3,1,1.64338301718436
"chem_epidemic_1",0.4,1,0.340454984796858
"chem_epidemic_1",0.5,1,1.03423099292543
"chem_epidemic_1",0.6,1,1.83575722932911
"chem_epidemic_1",0.7,1,1.21359364868225
"chem_epidemic_1",0.8,1,1.56913026824193
"chem_epidemic_1",0.9,1,1.20377879093825
"chem_epidemic_1",1,1,0.903469145365481
"chem_epidemic_1",1.1,1,1.99082257541042
"chem_epidemic_1",1.2,1,1.5431332810377
"chem_epidemic_1",1.3,1,1.15999871009834
"chem_epidemic_1",1.4,1,0.811787368115065
"chem_epidemic_1",1.5,1,1.63478730427693
"chem_epidemic_1",1.6,1,1.31839607591138
"chem_epidemic_1",1.7,1,1.91476372515925
"chem_epidemic_1",1.8,1,2.09120025373857
"chem_epidemic_1",1.9,1,2.55533025550313
"chem_epidemic_1",2,1,1.67053788611357
"chem_epidemic_1",2.1,1,1.78549323296155
"chem_epidemic_1",2.2,1,1.54565659314507
"chem_epidemic_1",2.3,1,1.42693676543276
"chem_epidemic_1",2.4,1,0.638147049064344
"chem_epidemic_1",2.5,1,1.2557380592916
"chem_epidemic_1",2.6,1,2.21456745133651
"chem_epidemic_1",2.7,1,2.75728212294301
"chem_epidemic_1",2.8,1,1.27798291226516
"chem_epidemic_1",2.9,1,2.38291536990303
"chem_epidemic_1",3,1,1.83122443289694
"chem_epidemic_1",3.1,1,2.48023433315408
"chem_epidemic_1",3.2,1,2.99362512697472
"chem_epidemic_1",3.3,1,1.67917394138523
"chem_epidemic_1",3.4,1,1.15528503849154
"chem_epidemic_1",3.5,1,2.08333266074987
"chem_epidemic_1",3.6,1,2.61373785572518
"chem_epidemic_1",3.7,1,2.77908633220062
"chem_epidemic_1",3.8,1,2.58324951195334
"chem_epidemic_1",3.9,1,2.30759209011766
"chem_epidemic_1",4,1,3.94202764175715
"chem_epidemic_1",4.1,1,2.92146776783032
"chem_epidemic_1",4.2,1,2.28279721567778
"chem_epidemic_1",4.3,1,2.59448019966128
"chem_epidemic_1",4.4,1,2.94060789446981
"chem_epidemic_1",4.5,1,2.79614924960707
"chem_epidemic_1",4.6,1,2.58443657548647
"chem_epidemic_1",4.7,1,2.72037694746984
"chem_epidemic_1",4.8,1,2.89103865055051
"chem_epidemic_1",4.9,1,2.38175114665163
"chem_epidemic_1",5,1,2.57402478841386
"chem_epidemic_1",5.1,1,3.12135929888461
"chem_epidemic_1",5.2,1,2.53379967537831
"chem_epidemic_1",5.3,1,3.08149897558523
"chem_epidemic_1",5.4,1,2.22614709443967
"chem_epidemic_1",5.5,1,3.25501723021936
"chem_epidemic_1",5.6,1,3.4505811726664
"chem_epidemic_1",5.7,1,2.60289732688118
"chem_epidemic_1",5.8,1,2.05198289256828
"chem_epidemic_1",5.9,1,3.00841573120429
"chem_epidemic_1",6,1,2.98989359714442
"chem_epidemic_1",6.1,1,2.1002250577892
"chem_epidemic_1",6.2,1,3.18577370135272
"chem_epidemic_1",6.3,1,1.87862440240533
"chem_epidemic_1",6.4,1,2.5200958299019
"chem_epidemic_1",6.5,1,3.7343712605683
"chem_epidemic_1",6.6,1,3.30718878994854
"chem_epidemic_1",6.7,1,2.97532103944598
"chem_epidemic_1",6.8,1,1.50720247564189
