"chemostat","time","prev0","logit_q"
"chem_epidemic_1",1,1,1.30446489473004
"chem_epidemic_1",2,1,1.69026384553318
"chem_epidemic_1",3,1,2.0487616274211
"chem_epidemic_1",4,1,2.40874456908792
"chem_epidemic_1",5,1,2.70183270814084
"chem_epidemic_1",6,1,2.86820175176236
"chem_epidemic_1",7,1,2.91625813024259
"chem_epidemic_1",8,1,2.92031847490257
"chem_epidemic_1",9,1,2.82671951861371
"chem_epidemic_1",10,1,2.45426085180593
"chem_epidemic_1",11,1,1.85224196344626
"chem_epidemic_1",12,1,1.37068162462301
"chem_epidemic_1",13,1,1.19184244430357
"chem_epidemic_1",14,1,1.13665285293245
"chem_epidemic_1",15,1,1.13381366600179
"chem_epidemic_1",16,1,1.09759491871072
"chem_epidemic_1",17,1,1.08682894038048
"chem_epidemic_1",18,1,1.08197845284834
"chem_epidemic_1",19,1,1.06416922043002
"chem_epidemic_1",20,1,1.05496078674511
"chem_epidemic_1",21,1,1.06258682304683
"chem_epidemic_1",22,1,1.01431259249719
"chem_epidemic_1",23,1,1.00853537231534
"chem_epidemic_1",24,1,0.992477065738022
"chem_epidemic_1",25,1,0.998853230417751
"chem_epidemic_1",26,1,0.962151869359786
"chem_epidemic_1",27,1,0.955176745426016
"chem_epidemic_1",28,1,0.950052811219211
"chem_epidemic_1",29,1,0.917811364466346
"chem_epidemic_1",30,1,0.931195488223435
"chem_epidemic_1",31,1,0.90767713104825
"chem_epidemic_1",32,1,0.876481185105705
"chem_epidemic_1",33,1,0.878099430841424
"chem_epidemic_1",34,1,0.8577763864428
"chem_epidemic_1",35,1,0.849421763829829
"chem_epidemic_1",36,1,0.831792829283822
"chem_epidemic_1",37,1,0.82982287006707
"chem_epidemic_1",38,1,0.792052853644336
"chem_epidemic_1",39,1,0.786803909994877
"chem_epidemic_1",40,1,0.776023566362105
"chem_epidemic_1",41,1,0.755061213131165
"chem_epidemic_1",42,1,0.741140908677228
"chem_epidemic_1",43,1,0.737898690398355
"chem_epidemic_1",44,1,0.723310833787186
"chem_epidemic_1",45,1,0.685708629567057
"chem_epidemic_1",46,1,0.708192000404876
"chem_epidemic_1",47,1,0.686881857472707
"chem_epidemic_1",48,1,0.695158554126532
"chem_epidemic_1",49,1,0.664473338339282
"chem_epidemic_1",50,1,0.63978911019096
"chem_epidemic_1",51,1,0.658881935881328
"chem_epidemic_1",52,1,0.645891105698614
"chem_epidemic_1",53,1,0.592053597012679
"chem_epidemic_1",54,1,0.595613523205339
