"Start","Value","Convergence","prev0_epidemic","prev0_endemic","freq0","phi_w","phi_m","a","b","r","tau","sigma_prev","sigma_g","sigma_q"
1,1478.64828245089,"Successful completion",0.0199999575174818,0.996512950179207,0.445499087072414,0.464941826831458,0.100301760139287,1.20884905038624e-07,0.0448662308395067,0.912604101119986,1.17320022899801,1.38795923052355,0.623134019606117,0.77292764175269
2,1486.92659733996,"Successful completion",0.00100152480886963,0.996039864738124,0.400000000001126,0.327430635477216,0.0118637433430741,5.06618064199617e-09,0.0386404980107288,4.99510604338249,3.98483004091252,1.99999361113395,0.540891752323179,0.835431195827062
3,1461.40506310358,"Successful completion",0.0199810063462113,0.995667057139382,0.400002531291649,0.533676583661108,0.117562885340637,9.99990970889529e-07,0.0845933125938812,2.06968352875599,0.536792264938488,1.54112714210531,0.547822698488759,0.819567233046664
4,1461.527178492,"Successful completion",0.0199999996774506,0.995682196942923,0.400000000097591,0.533750660951923,0.117569563650425,9.99999999999996e-07,0.0846651133297867,2.30436460691259,0.542047259159222,1.53833198983197,0.547905894640665,0.81893305109176
5,1715.55586206366,"Successful completion",0.00103821088849655,0.99609255709119,0.409155655175197,0.00189488392532476,0.017925329887411,9.99774968607094e-07,0.0315965053191819,4.98707506239888,3.99345887474652,1.76852297015865,0.570551813268912,2
6,1568.17402094094,"Successful completion",0.0199999763010273,0.995161849921676,0.450062256058967,0.405836694907699,0.236139665194365,4.52216242575289e-07,0.0737957204379776,0.748184718309431,0.661916451881571,1.91757860017752,0.57433751450771,1.02190980193008
7,1606.96442719279,"Successful completion",0.019998258163256,0.994353171528542,0.402804996964901,0.671741028933753,0.639136019027058,9.71930132409785e-07,0.0668044485219842,4.98849242383654,3.9999062884459,1.68244623050694,0.589420853061339,1.0560955242545
8,1654.33028011036,"Successful completion",0.0198743388384987,0.992651643139581,0.410405363563362,0.709579475112701,0.662817273646999,9.91040103663554e-07,0.199987733576671,1.48571931155017,0.500326181465956,1.69877284980135,0.597822138278854,1.19083325131174
9,1665.13053133574,"Successful completion",0.02,0.992815815598299,0.4,0.682125184818397,0.628168877310459,9.99980495359285e-07,0.199999963108102,5,0.500001123472984,1.99999999999997,0.588294896796376,1.17406662630456
10,1778.60097728587,"Successful completion",0.00514595618003483,0.995773118882105,0.444852432824502,0.402893024571,0.0248362979097764,1.04776373215611e-08,0.0487774052930811,3.89214916631945,1.62288170668684,1.50522715685113,1.99999761210575,0.777816199734314
