"Start","Value","Convergence","prev0_epidemic","prev0_endemic","freq0","phi_w","phi_m","a","b","tau","sigma_prev","sigma_g","sigma_q"
1,1506.11280428006,"Successful completion",0.02,0.995796790095121,0.400001480195737,0.537760684019674,0.12431682109039,3.91924752735851e-09,0.0536537046439284,3.99999999981078,1.99999999989296,0.577265465160589,0.814929064349717
2,1466.61759273187,"Successful completion",0.0045122936345401,0.995790647554832,0.414822573608366,0.378404616547114,0.031371838889288,9.61184221417568e-07,0.0798878006323145,0.621031770331123,1.99999888044791,0.526044972534383,0.825679825850804
3,1483.33185555855,"Successful completion",0.0199999984751036,0.995613175583527,0.417563048888573,0.521653896169813,0.114255390783106,9.15020452192389e-07,0.0958773741822417,0.536979080574498,1.99999998490151,0.549488123094006,0.807963234284866
4,1639.52474010723,"Successful completion",0.0199999864354246,0.993333589396406,0.409611460340499,0.658573733240516,0.602326578608221,9.99999779675375e-07,0.199999999999985,0.500003854258701,1.67078788973144,0.592036397941939,1.17595939948915
5,2365.16358610595,"Successful completion",0.02,0.995936016632405,0.599999999999992,5.19293081322194e-32,0.999999997373556,9.99913609480435e-07,0.033065753037548,4,1.80981704844837,1.62918889628295,1.99999665803405
6,1507.37636321943,"Maximum number of evaluations exceeded",0.00545513070191522,0.995456784655882,0.418910842496189,0.348241726093647,0.0499110479043635,4.43269546259516e-09,0.0470144058556207,3.91816610660565,1.61077089319242,0.550510153862896,1.24541558398962
7,1452.68906972801,"Successful completion",0.0026108541956743,0.995920624014255,0.408675037598129,0.36144023086972,0.0208382131116733,6.06591862805951e-09,0.0412760264872299,3.99780512803899,1.49224533491543,0.544987752438259,0.825191797801958
8,1664.24481358071,"Successful completion",0.00359683154938859,0.994657524315178,0.417324105622747,0.582389697430252,0.549322062838841,9.82955927506766e-07,0.0874456956672243,1.54147667276305,1.47961292609029,0.579138234458048,1.99916356796275
9,1608.10031632952,"Successful completion",0.0199999999944465,0.995811041202035,0.42369427347969,0.999999999807802,0.110577928025967,9.99973566874194e-07,0.0960383449223651,0.50000142932998,1.49668054452421,0.550051648823938,1.92532986758059
10,1459.88055583361,"Successful completion",0.0199775315462636,0.995622603707049,0.418118094224016,0.525506074798411,0.113081180225701,9.461714695326e-07,0.099369375685842,0.503913258219365,1.53593495198475,0.549396608595716,0.811909554248801
11,1515.1194072945,"Successful completion",0.0197799876918785,0.995699392836502,0.400061947149584,0.999965606235767,0.107260048108926,9.99999999999e-07,0.0972328183943571,0.500004668434211,1.52552066887452,0.545377290683034,0.988711845391333
12,1470.5077216399,"Successful completion",0.00741344479495795,0.995766963013862,0.402227324663283,0.419776803320392,0.0472536532596662,5.12562162419004e-07,0.0748015093401097,0.688146546069746,1.99906241941101,0.528985115154771,0.806808497814031
