"Start","Value","Convergence","prev0_epidemic","prev0_endemic","freq0","phi_w","phi_m","a","b","r","tau","sigma_prev","sigma_g","sigma_q"
1,11030.8220596204,"Successful completion",0.0177525549456446,0.950001951151147,0.51287400276344,0.769237277250727,0.790621237386102,1.6834123966932e-07,0.116482163265316,0.738698431307343,3.99595089129046,0.892525589733205,0.497137960581844,0.432494158482641
2,7740.88622643361,"Successful completion",0.0199999999209297,0.983350103261705,0.49667949092983,0.401852290354441,0.481512982637464,3.25731122133213e-09,0.199999982856842,4.94967730535948,0.500203004764961,0.409331371739282,0.248080895144422,0.699465026871844
3,3193.51147232096,"Successful completion",0.02,0.988229189616705,0.48274559747465,0.264729944362347,0.366753688110166,6.00188733892376e-09,0.199646033877473,0.964968147891224,0.500158670810278,0.13324048617669,0.283526084903925,0.730006953148696
4,16474.1153187799,"Successful completion",0.0199999942770713,0.992494833803456,0.491319878121333,0.999881289317923,0.00494764770299886,9.9650478963204e-07,0.0376328291019901,4.99999982557583,3.99965740840892,1.99999999953197,0.344473885344652,0.919069063520935
5,-15551.6081053568,"Successful completion",0.00966609926280096,0.989608669287064,0.507880981176097,0.182384495678693,0.0195620252054891,1.54183085393901e-09,0.109123377041078,1.64696065813491,2.74514165059054,0.0570264122471105,0.0612039413829316,0.330532168996
6,4235.73132797824,"Successful completion",0.00697022682616358,0.991673784032858,0.458696531145797,0.152286585535635,0.191333732400479,9.99994069351777e-07,0.0898550150220332,0.956504811732901,0.5119568222541,0.175508293357267,0.335309754699256,0.608043741102582
7,-17002.9388362239,"Successful completion",0.0192680283442544,0.994149561100313,0.496351887082602,0.153514360515509,0.0160756107542317,9.6685860869546e-07,0.053002587727184,0.818015407137712,0.719164008168163,0.342012321717314,0.126376916259799,0.0133834707966938
8,1449.11223731299,"Maximum number of evaluations exceeded",0.0146626672398521,0.989866540966972,0.483789996166528,0.191566863109664,0.285709956446046,1.27846877990086e-09,0.0891294010665346,5,3.9999987890611,0.120046087351035,0.265028673559999,0.746203290344642
9,9250.06782311069,"Successful completion",0.0192107063844689,0.985615101806788,0.496285634512796,0.48123218439161,0.515112122053834,9.42918520450315e-07,0.0660375019733559,3.2629166644225,3.50910538682424,0.821054186445931,0.270238249856588,0.438136500119095
10,-1965.29241423506,"Successful completion",0.0100804713549846,0.990868430242593,0.494424747746746,0.193827420693115,0.0173963498472236,3.41574009019779e-09,0.09589957035923,2.89764595632791,0.910196727361363,0.210555364866225,1.99974696462292,0.0431776624083806
11,10831.4186700034,"Successful completion",0.0199999999999978,0.989342059503107,0.6,0.106375335904795,0.277433763376767,1.2566326317282e-08,0.124183004807644,1.15964067239098,0.500000008809567,0.118585970629377,1.99999999999998,0.905925396635304
12,9559.67111145359,"Successful completion",0.00427304661173366,0.986775758762467,0.599995133975813,0.25061749868211,0.331386682632073,9.99776547088561e-07,0.122189560704161,4.99676937950687,0.503843411656392,0.241498551615674,0.412968621079797,1.62155066060301
13,2193.82123076961,"Successful completion",0.0199085924778621,0.989709591654912,0.489018449058411,0.187892998948964,0.286541666040016,1.25787135074405e-09,0.0906359981772375,4.51831771422432,3.99880769115427,0.116344531697732,0.27383340390036,0.706028333923348
14,11230.2756204679,"Successful completion",0.0120881799148609,0.98813047665226,0.497115329950867,0.305371865039298,0.349047368682784,6.65522219800037e-07,0.0557696659082342,2.70571691207016,3.96382359940034,1.99998492601397,0.259833274112347,0.414469749105304
15,10284.6728443099,"Successful completion",0.0174803326719863,0.953552335360104,0.510911117689916,0.671262949114207,0.704932514158141,6.82564761920017e-07,0.114996297447842,0.739783257484964,1.45355899434087,1.0225519725368,0.264811929772981,0.558718584156138
16,6553.7113130558,"Successful completion",0.0199896638403863,0.986503622666883,0.484558202844491,0.3737826352098,0.423626914539101,7.31490038611963e-07,0.135809280363303,4.99994664737202,0.500000045854394,0.324987370274371,0.264488160279275,0.591677625767753
17,5994.16891864877,"Successful completion",0.00406706835534915,0.987137752973902,0.400012499063226,0.473047342427213,0.495436623032488,8.5149428587453e-07,0.122918834218363,0.744076512926149,0.583707277867784,0.19981606894731,0.363779936096716,0.922436120622245
18,9517.39850394719,"Successful completion",0.0199996096579778,0.972388384666182,0.49001736159883,0.632914334719697,0.672640330118751,9.99999999968321e-07,0.199971895762756,4.99999999944482,0.500057926535787,0.61303160794555,0.262537840361668,0.638327519779894
19,80.3492616986105,"Successful completion",0.00725850265818326,0.989023097503228,0.495768270972142,0.317962454141525,0.369291415288037,5.34575402110898e-07,0.110660129526604,0.78513410639986,0.50002557746376,0.0817820886150096,0.293139605279441,0.576110379833834
20,19663.6887927301,"Successful completion",0.0199682525438665,0.950248681435676,0.513000219672387,0.914897198399749,0.999993298072583,9.99998485254961e-07,0.199443245277444,4.05885022925772,1.46243333515158,1.99558827588714,0.379040725106962,0.963432139306579
