"Start","Value","Convergence","prev0_epidemic","prev0_endemic","freq0","phi_w","phi_m","a","b","r","tau","sigma_prev","sigma_g","sigma_q"
1,810.775524042313,"Successful completion",0.0199843339004672,0.986035957176577,0.599893623723059,0.321532428716887,0.472950693809264,2.90202317164423e-09,0.174157439080543,0.930490215173543,1.65357690182786,0.504142849538478,0.628631003599049,1.17629617041706
2,934.125792701685,"Successful completion",0.00100025082832737,0.989251695957641,0.490090024889522,0.0783468956003761,0.16195099658563,9.99999999928049e-07,0.11129637568556,4.43993753798936,0.500507489908294,0.726630043776828,0.590162499700924,1.99997203298637
3,765.599264272331,"Successful completion",0.0127016874849701,0.98862363398593,0.491167517832431,0.178222861419742,0.251925684465824,9.38642787182694e-07,0.115615466572947,4.98837758247475,0.500363395351252,0.504681007838966,0.571676873138233,1.99998850196108
4,765.39709666918,"Successful completion",0.0198747540469982,0.989131328856765,0.499305490742323,0.200630756475878,0.295760596001364,2.6454787282344e-09,0.0694834626200187,4.851113590517,3.93799572942949,0.51059267225356,0.565420243913484,1.18596377665358
5,752.949273566913,"Successful completion",0.0190555303660307,0.988835485704838,0.49791262863443,0.299913584737604,0.365389851475105,7.48478104800213e-07,0.0922016292882968,0.775581550703124,0.651472593716276,0.499118334602462,0.563235058115048,0.960512645436934
6,1022.54551924246,"Successful completion",0.0197517523891587,0.950031966412396,0.510404421880613,0.592697766333623,0.635913687219307,9.86338794447391e-07,0.12889319769025,4.99620970876447,0.925120472258826,0.872949486386192,0.564621791258014,1.16953262314109
7,709.019196170733,"Successful completion",0.0199999344069651,0.991063152996303,0.503431509403745,0.228770405858721,0.0191766025855372,7.66497131615711e-09,0.067469831851365,3.44994746783675,1.25873287170344,0.507278337516517,0.504540322522171,0.0285194415339117
8,766.687059916033,"Successful completion",0.0127865751187,0.98871554287288,0.494297967300856,0.196901353773897,0.280759070725217,9.97686998899566e-09,0.0780198141695326,4.99848189229238,1.27888818424815,0.508284803568076,0.568701694235018,1.46472899556247
9,855.761027595305,"Successful completion",0.00100012442824826,0.988420363713121,0.495897573151216,0.223973380366742,0.267833261428448,9.99833960821936e-07,0.0737131254282234,4.99928023426695,1.2163198820938,0.621340609325381,0.560461470158471,1.99959674163232
10,771.40148416767,"Successful completion",0.0199212849480941,0.988592455478374,0.488969128642582,0.184518099249264,0.263177887698356,9.11176201077229e-08,0.113950259946842,4.86598003192605,0.523489019024468,0.511003863546588,0.571543017758889,0.0046468178913368
11,772.178485803596,"Successful completion",0.0199910594104706,0.98855121716351,0.491314704322434,0.189106838058691,0.264971847887042,9.99305431641172e-07,0.11612961593773,4.1998017436794,0.500109155012088,0.511913481090625,0.57089861270576,1.9999961595231
12,695.690469886368,"Successful completion",0.0130999682371977,0.99016838222431,0.500636411679614,0.154363776158252,0.0189695009922048,4.36078116342694e-08,0.104955342190802,4.97342757365936,0.500003485294415,0.496153932825686,0.502681816823179,0.00180551164358606
13,1193.08606490277,"Successful completion",0.019992646361038,0.986953978892151,0.504722851076836,0.326449452753704,0.400151416120232,2.59299500853838e-09,0.0789024009281403,4.99999983213503,3.99839794021076,1.99940711901963,0.559483706832726,1.87763206921464
14,1118.21036425556,"Successful completion",0.0011322402232753,0.950129000652176,0.400025712473152,0.647373964952875,0.665330148267872,9.99999987381939e-07,0.129490385014967,0.740031679475164,1.0411937220799,1.03749507853115,0.625844533938558,1.99999216112843
15,845.815081449614,"Successful completion",0.0199999997294161,0.988170046035486,0.503501838752227,0.224473314671603,0.328826667659884,1.0000000015541e-09,0.106265502961895,4.99999913922302,3.99998685560917,0.606529032163094,0.562182436222781,1.99829968610841
16,768.550916669337,"Successful completion",0.0139458853300348,0.989501250709544,0.497199647617606,0.152850706636925,0.261885021800654,5.05266603886498e-09,0.0665581236577733,4.39124454198644,2.2746490128617,0.503721247424191,0.572193333098352,1.99999995175138
