"Start","Value","Convergence","prev0_epidemic","prev0_endemic","freq0","phi_w","phi_m","a","b","r","tau","sigma_prev","sigma_g","sigma_q"
1,1539.04693932503,"Successful completion",0.02,0.995551565124172,0.400001737682689,0.999999994367988,0.108011171982512,3.20516239258679e-08,0.143728203810261,4.9999918777749,0.500004917894729,1.99999967523232,0.549733999913392,0.97096713639459
2,1441.73860519225,"Successful completion",0.00509373018701562,0.995952528715095,0.400008698426263,0.395380455209192,0.0353831674991007,4.16911553326078e-08,0.0795143489000562,2.30229886028099,0.994136780560317,1.51850664226617,0.525383985019297,0.829382085352542
3,1690.23006668286,"Successful completion",0.0185580249707263,0.994024362835975,0.400436865120952,0.717923801308744,0.694083246736678,9.97110142686136e-07,0.107692081919012,4.90127771673378,3.98452120764351,1.66142323968947,0.588962122830033,1.9999997615784
4,1458.08338690727,"Successful completion",0.0199357780105865,0.995840483936063,0.420245597705422,0.511173859738533,0.113231883607382,9.99997551328274e-07,0.0844116004138483,1.17716702322277,0.817226044398592,1.54055893435561,0.548297196386389,0.806656002051165
5,1577.66221023317,"Successful completion",0.00303504354553349,0.995782392267414,0.400000913346342,0.345036335771551,0.0281668570686594,4.94628743965542e-07,0.125315816020543,5,0.5,1.49368995858697,0.514589498489799,1.99802156555348
6,1462.40898256906,"Successful completion",0.019999996472265,0.995561432787111,0.408459696117898,0.532560573734151,0.11629828986973,6.68405607111293e-08,0.123136224218724,4.99995284694707,0.596524918133456,1.52794376523219,0.551562873093,0.815879722112132
7,1442.66606861274,"Maximum number of evaluations exceeded",0.00488420040456296,0.99571216262797,0.414076236622803,0.388250499130893,0.033994908811552,9.99995604422088e-07,0.127455913107708,4.64397340502473,0.505787264740281,1.5002106455062,0.527555519122321,0.847711810894717
8,1486.46713166172,"Successful completion",0.0199998451304333,0.995507145032065,0.400000000000002,0.592572073592659,0.128628684689288,2.7370198992655e-09,0.11243915133773,1.21470759972409,3.99999999985201,1.54717179811141,0.563605979319378,0.833133019651172
9,1632.04140729933,"Successful completion",0.0199999980416836,0.995630162693807,0.400000000004806,0.574953471680303,0.125787049884833,9.98659780894032e-07,0.135986815372579,5,0.500000000050557,1.99999999999994,0.544558075928888,1.99999999999997
10,1460.63531622888,"Successful completion",0.0199929990446147,0.995840980486719,0.400000000261995,0.524929264272614,0.118173795976374,7.96087004195068e-07,0.0942172614859186,1.39062699269574,0.734412348494139,1.54097092250588,0.547190055856671,0.815963328752351
11,1484.74858141513,"Successful completion",0.0199990728279036,0.995561850820237,0.417500992689971,0.52101062164121,0.11432070060589,9.99998876685434e-07,0.137420293309422,4.99664511437423,0.500089089504028,1.99999998491561,0.550190386639183,0.810382705212822
12,1658.01594837726,"Successful completion",0.0112225633409463,0.995308777690749,0.6,0.385927636434054,0.0419486346176442,7.33549436736929e-08,0.126583770246133,3.23180316947827,0.5,1.99999998669108,0.771397166398589,0.913848328713007
13,1461.05300351427,"Successful completion",0.0199999998211165,0.995983556384581,0.400329373113472,0.516981437537728,0.117995468270901,9.99609390996559e-07,0.0745013038775835,0.982039732105812,0.95900785968193,1.54426435005825,0.547553612851018,0.815917792040373
14,1616.77217240246,"Maximum number of evaluations exceeded",0.0109193305947497,0.995663218117565,0.400633406937037,0.465986422833426,0.0915099408191092,3.55845955184926e-09,0.0857525314034707,1.30274711098737,3.9986515906937,1.4414712354498,0.545599868541496,1.99999768317081
15,1444.60869178407,"Successful completion",0.00460981999155509,0.99573523495007,0.400000014752395,0.385380206956964,0.0330923777395061,9.99992620133663e-07,0.120249374653303,4.9999997143628,0.547329787821554,1.50016208958953,0.526161121299058,0.841719851404478
16,1673.11635718563,"Successful completion",0.0199999042726299,0.994189669080218,0.420101605629047,0.548236348306136,0.432800476574999,1.00018648653586e-09,0.199999999999881,4.99999969364465,4,1.99994560123878,0.619865538244073,1.14424944772107
