"Start","Value","Convergence","prev0_epidemic","prev0_endemic","freq0","phi_w","phi_m","b","r","tau","sigma_prev","sigma_g","sigma_q"
1,1486.99598588097,"Successful completion",0.019999997442146,0.995579211605267,0.4,0.528939395077251,0.11841826375371,0.103660307856775,4.9821924841645,0.500000111214314,2,0.549366882261836,0.817449128783368
2,1484.65643595096,"Successful completion",0.0199734124777694,0.995569802584333,0.417505998029248,0.519618246300745,0.114231095846653,0.10277703299557,4.99999999999994,0.5,2,0.55002695111232,0.810468804620582
3,1617.54128389034,"Successful completion",0.019999999998029,0.99456879862521,0.404110147767904,0.644074612790966,0.607559565475113,0.0693557366999957,4.9767213775821,3.97272775694632,1.99625507475845,0.590539455544506,1.04797856406454
4,1582.40847288413,"Successful completion",0.00502990262070975,0.995811380567682,0.4,0.554946486648108,0.0295887973197745,0.0891588599720439,2.4960010905736,0.500000084421654,1.49902898964771,0.516612079546258,2
5,1449.16062797293,"Successful completion",0.0042594222658524,0.996008539736263,0.400609869818616,0.365412089200922,0.0311523079490271,0.0722024970104833,4.99511140732474,0.728546883357558,1.59705108449263,0.529855125078328,0.828301084951414
6,1439.57816019992,"Maximum number of evaluations exceeded",0.00438941279335004,0.996346538091572,0.4,0.322941369943982,0.0299085918176453,0.0331462076896922,0.815413775851602,1.79277428011564,1.51061679950387,0.522586677825585,0.826128018877235
7,1444.59519177019,"Successful completion",0.00474766584230249,0.995736883160856,0.400000000000286,0.38696258866994,0.0339084778441788,0.0923977778224221,4.99999873115602,0.528693977065629,1.50020518714007,0.526116992620047,0.843823615151103
8,1460.67620830805,"Successful completion",0.0199837153116217,0.995758321044021,0.400017332061049,0.528811433427711,0.117729668224658,0.0827497228981477,1.77783908366233,0.611863283627268,1.53707861035844,0.547429960552645,0.815589499976747
9,1684.17565097652,"Successful completion",0.00105591254686449,0.994094195755044,0.400024192902774,0.68617122125265,0.671186110540231,0.0784194946219995,4.99999999995129,3.99998653376453,1.61537905859093,0.58850165498566,1.99999999578643
10,1664.44813538627,"Successful completion",0.0199412823317228,0.995457576491865,0.599990790253513,0.416538062860381,0.0707092086099787,0.0939318089651387,4.99985617406288,0.503934244874607,1.99998753856708,0.776781080972425,0.922865342860788
11,1763.21606499078,"Maximum number of evaluations exceeded",0.00363855589963446,0.995692181442761,0.447335912690905,0.371125757379108,0.0177652750986411,0.0988551172028638,4.99999077506079,0.5,1.50525955361452,1.89056637460052,0.78768545848057
12,1460.04214945507,"Successful completion",0.0199964413849844,0.995636461176544,0.418813079749877,0.522404038952322,0.112914181008938,0.0988122021824154,3.22070001618655,0.508069245686135,1.54284570160917,0.549182354578744,0.810573045488827
13,1462.80663110729,"Successful completion",0.00390491284502079,0.996155426217604,0.415420406687471,0.332321752795362,0.0269795935886572,0.042912712739076,1.37002486628778,1.2928102450145,1.9953741517681,0.522593501139221,0.82121670143382
14,1444.71154253707,"Successful completion",0.0063769788682719,0.995935669388106,0.400699938823683,0.39968704220039,0.0436262736903675,0.0816687364678185,3.82666540270189,0.619010351186492,1.4984109924768,0.526181731323694,0.829968271547116
15,1611.8074909125,"Successful completion",0.0199999986798125,0.996130772927625,0.40000000045135,0.640316838816666,0.603034669863834,0.0677669770426165,4.99999975380862,3.99999999629725,1.76187752319147,0.594581218793383,1.06083256372547
16,1650.42281238465,"Successful completion",0.019997850025347,0.993394066268328,0.400001066431483,0.641481201620109,0.578006665498405,0.199999999999861,4.99999999999195,0.500000008807645,1.99993617689152,0.583110189207745,1.15918034177736
17,1659.71085751717,"Successful completion",0.00536255897096951,0.995493081408047,0.5999999999878,0.305246107777108,0.0258899240809097,0.0932690209361121,4.77027932765547,0.500000050481519,1.99892604921455,0.767949320981009,0.941011844463254
18,1613.29323000336,"Successful completion",0.0199999999599971,0.995785009454964,0.400000390142733,0.999998474536391,0.115255496953368,0.0918477925663935,1.56797104524994,0.501623361952996,1.5220226729769,0.541024472287814,1.99996673032863
19,1616.50261815222,"Successful completion",0.019999986007138,0.996213124323064,0.400393491765373,0.331393508735583,0.159079017638291,0.0309471382484327,4.99999027932964,3.99967581182794,1.99998834415956,0.576412317981773,0.92731633705872
20,1511.51883616226,"Successful completion",0.0199840689065503,0.995762991223198,0.409187403967976,1,0.105893835722444,0.0920368157994148,1.63985016896278,0.500010473116599,1.52489952274648,0.542162223553517,0.985012100836004
21,1484.19073229447,"Successful completion",0.0193733057764319,0.995617264664363,0.400000527507582,0.534111037584914,0.114287795087576,0.0984474437252538,2.04898202943517,0.50373136422207,1.99971372020859,0.544518298551258,0.815493279002552
22,1627.09585392056,"Successful completion",0.0199999999893604,0.995612288149553,0.416715148540067,0.570591198408712,0.120328183690337,0.0937335384934414,1.55408665107897,0.50000187727308,1.97144527838981,0.544751298182783,1.99999999582769
23,1659.39736543517,"Successful completion",0.019999997246852,0.995762241130696,0.599999999999996,0.426652062882203,0.0702681488056163,0.0876247496503165,1.6775851947525,0.500005631981286,1.97812678368904,0.769376696014374,0.927606649704616
24,1607.39126214357,"Successful completion",0.0199999988450127,0.994335322080918,0.402766360458442,0.674219542298439,0.64224251689948,0.0737941821840592,4.98645533470019,3.99998018917377,1.68271149632122,0.589734228693846,1.05603484190615
25,1662.17668675847,"Successful completion",0.001,0.996041352363405,0.416982042627045,0,0.00792520825696938,0.0351731639437024,4.9999945697036,4,2,0.572590529354954,1.18465697789369
26,1640.28835237897,"Successful completion",0.0199999999999659,0.993342907414068,0.409631378898575,0.656322397746523,0.600294278023218,0.2,4.9999999906253,0.5,1.67398187853244,0.592410508579317,1.17593095085109
27,1684.29280889184,"Successful completion",0.00100000004902443,0.994112259332197,0.400006286566429,0.684702818941426,0.669695548733984,0.0782338313044769,4.99999989771748,3.99999999552141,1.61521400922645,0.588375682803519,1.99999991316527
28,1517.13272496766,"Successful completion",0.0199999999999999,0.995685198524544,0.400000000024086,0.999999999825847,0.108812510483418,0.0983921585916058,4.99865383913832,0.500017448024863,1.52487917903648,0.546636010242078,0.991964930782426
29,1610.73249457207,"Successful completion",0.00147513345311368,0.994411614975051,0.412028418222297,0.62695645391338,0.605757840622324,0.0719500946458534,4.93748857383344,3.79930200585187,1.64071937271642,0.589349385164983,1.10596701386087
30,1607.67557129898,"Successful completion",0.019886028071657,0.995729178406138,0.411652837238545,0.533781560747709,0.125173939890703,0.0917052124610688,4.94268724637115,0.561913380395277,1.51965210019865,0.545610306408822,1.9995600486391
31,1458.16536872534,"Successful completion",0.0198886741082397,0.995730326235466,0.418711933268455,0.524768488715292,0.112556631689796,0.0868895842647259,1.78882557807712,0.566468514044863,1.53889715716014,0.547169871079658,0.811090353702205
32,1701.11938231776,"Successful completion",0.0199936787795819,0.996145886661301,0.400004053830566,0.976024683175883,0.11662701845539,0.0282943872156857,1.09337654967235,3.99999974151438,1.75666057959254,0.570127251351217,1.27113079669415
33,1439.18258149179,"Successful completion",0.00488166044180129,0.995779242771922,0.416791083501318,0.384916259357187,0.0332738564337172,0.0867880675825845,2.68743943345213,0.543417236302768,1.49914462257208,0.521843897616345,0.835489757479297
34,1461.72832995447,"Successful completion",0.01999992355165,0.995674102697965,0.400000032811068,0.538160766850065,0.117111899039571,0.0982694645996314,2.15642137213487,0.500005734794852,1.53727158938876,0.547250343976106,0.82059505949551
35,1917.44199618648,"Successful completion",0.0195217421807962,0.994371164203586,0.40000712572885,0.667647195524848,0.631885946199762,0.0733735431812441,4.9999996813742,3.99702689344036,1.68717367682487,1.99999041935597,1.0501793292234
36,1630.00290659867,"Successful completion",0.0199999999997427,0.995724834816548,0.400000000000048,0.586661648266106,0.124435731197867,0.0943570384513011,1.67239830964394,0.509547551227284,1.9999943758053,0.541244181224634,1.99998859336582
37,1608.01313329522,"Successful completion",0.0110047659409037,0.994318164605171,0.408412447480603,0.676997644804957,0.650155972383471,0.0716260172453791,0.736199244899103,3.96993149452511,1.66269716528976,0.590500638222071,1.07609786668097
38,1965.52894125582,"Successful completion",0.00476746444510976,0.99575115886604,0.414279384425539,0.39519900632641,0.0282213587679996,0.0914718997628922,4.92489675908946,0.524811007440306,1.99949882395901,1.99998205475691,1.99980419356893
39,1457.69761965905,"Successful completion",0.0198734341799665,0.995833091822167,0.418493231787247,0.514016650478216,0.113100955723976,0.071058552750984,1.38866064728953,0.713096449166474,1.54029593830655,0.546943836937862,0.8092479432797
40,1480.20858169155,"Successful completion",0.00100174314654339,0.996485384461435,0.400000000000508,0.205689663540315,0.00847275296220316,0.0223827340221566,0.797406099079009,3.99477283718358,1.62111580760663,0.547176936642691,0.815532690199118
