"Start","Value","Convergence","prev0_epidemic","prev0_endemic","freq0","phi_w","phi_m","a","b","tau","sigma_prev","sigma_g","sigma_q"
1,1631.09597656628,"Successful completion",0.0147499942309741,0.994064351656759,0.417937507622885,0.624272527254392,0.574550997757757,9.99970509396234e-07,0.133025682310032,0.855433614624151,1.9952955943108,0.581759175329379,1.16654848053128
2,1486.20101251221,"Successful completion",0.0010000000001517,0.996049012705913,0.4,0.323432758933076,0.0120406323563884,5.34828502532267e-09,0.0420740464198327,4,2,0.538884053492128,0.838104407594723
3,1484.18829376776,"Successful completion",0.0199998879227783,0.995586539364355,0.417353155626239,0.519790790877059,0.114497599720534,9.99936496844265e-07,0.0985030315607963,0.526032115030726,1.99997549317042,0.550184378681898,0.809023079596113
4,1460.31723056636,"Successful completion",0.0196984255397587,0.995562351329356,0.416788623344314,0.522206427880891,0.112098848350482,9.63244455506449e-07,0.100648066765773,0.502332042101237,1.5367166909955,0.549673850682483,0.812066012174164
5,2369.06437615814,"Successful completion",0.019999999999895,0.995819600121783,0.599999999999871,6.96260403058392e-109,1,9.9997770130809e-07,0.0353314610417184,4,1.83741326824696,2,1.99999954751448
6,1640.38314178749,"Successful completion",0.0199991592065106,0.993294596483986,0.407647771745987,0.657655181019431,0.601162001213584,9.84574192453055e-07,0.199999912341782,0.501592976230988,1.66912556454104,0.592781752911223,1.17315915238255
7,1443.24834361462,"Successful completion",0.00466869036930381,0.995744416262556,0.400200613744126,0.388911413548152,0.0332745539354863,9.99948503055385e-07,0.0919151308128654,0.529089987233792,1.50111921775474,0.524778387654131,0.842016699710634
8,1580.07561316755,"Successful completion",0.00188701203257045,0.995753199105699,0.40285125863389,0.299212971202268,0.0236960205246911,9.80676533814776e-07,0.0841030564808962,0.577048237691643,1.50308785539464,0.513716357780885,1.99904607201849
9,1577.60420699352,"Successful completion",0.00309180880504207,0.995791560987215,0.400015476499642,0.347580540018047,0.0282459900973013,8.30928381404704e-07,0.0932893525482921,0.500023060813082,1.49565269413354,0.514314990011985,1.9995464127125
10,1641.14569070191,"Successful completion",0.02,0.99566489792174,0.4,1,0.116861350612979,9.99989181763845e-07,0.0997327669856729,0.500001563759553,2,0.542487926412735,2
11,1515.91472192973,"Successful completion",0.0199593975227047,0.99568251382968,0.406708044485035,0.999284821460127,0.107090886254658,9.99999999997437e-07,0.0979620037261159,0.50001271112528,1.52575821488023,0.545593022923222,0.990334917423465
12,1515.98267469275,"Successful completion",0.019963958332789,0.995679783238139,0.406492730951154,0.999999999999711,0.107121784222717,9.89854721082012e-07,0.0979640536972988,0.50000019882851,1.52486953343291,0.5457533845016,0.990578004745545
13,1450.75582723226,"Successful completion",0.00194377015904916,0.995559932283515,0.415624373969096,0.334449225508146,0.0181609040515893,1.97685057491347e-08,0.0529622281425622,1.36514562330141,1.54999052411466,0.52941661014875,0.839847197967332
14,1441.70952843038,"Maximum number of evaluations exceeded",0.00443619741617424,0.995753511694247,0.414657841132523,0.391418001867771,0.0310018796305049,6.30097087210238e-08,0.0818334217376758,0.64677517712263,1.50242259646657,0.52797500808731,0.831317289786775
15,1610.45873226247,"Successful completion",0.0196639742744147,0.992922030711735,0.400077314340316,0.718069469973486,0.691861760665529,9.92806486641194e-07,0.082745088670405,3.99921124881118,1.59488193683095,0.580906897758504,1.04744943805514
16,1586.41739911398,"Successful completion",0.0010000087097478,0.995823034735566,0.408678244255798,0.245420434430181,0.0235828541485012,1e-06,0.0772621488372371,0.656653419050717,1.58600224126299,0.508179730019281,1.99956527573023
17,1644.02278314495,"Successful completion",0.00107303145175674,0.995420833754535,0.599998952875731,0.237838873045874,0.0123849078446621,9.93312578665637e-07,0.0954562544994062,0.500029617521405,1.52906857440071,0.766548902490074,0.958928368951152
18,1478.02317642258,"Successful completion",0.001,0.995902761605828,0.458816650240749,0.296381119005445,0.0148343870053151,3.96193731781152e-09,0.0469870220140046,3.99999999990098,1.56615000586611,0.5489110477173,0.844552498979864
19,1444.81402988134,"Successful completion",0.00584248169297336,0.995654717695197,0.421460430914996,0.41671023125839,0.038064717849745,6.00012788852886e-08,0.0997679744252576,0.500511771049259,1.50567685706498,0.52713450292652,0.838599837322721
20,1480.32842419782,"Successful completion",0.0199999586092369,0.996067707771306,0.4,0.528974199064181,0.119175172639014,9.99999999482004e-07,0.103101328642075,0.5,1.91448665470662,0.550683445096558,0.824783752277635
21,1463.16652004425,"Successful completion",0.0199999999974839,0.995620535025754,0.400000000000159,0.533172765126011,0.117461198551196,9.99999999836913e-07,0.101871069729864,0.5,1.53633204253191,0.549635488363364,0.820143840180807
22,1516.88905617692,"Successful completion",0.0178758148399877,0.995656022159233,0.400008287905863,0.999919401541943,0.0967517996002121,9.99999999198417e-07,0.0972557535907577,0.500105904229086,1.515850408311,0.542941584816825,1.00362431245454
23,1469.15961794287,"Successful completion",0.00483816788820396,0.995729459716971,0.414499879748383,0.385464163704459,0.0334344049783247,6.09665721094696e-07,0.0881803027045857,0.56216959745045,2,0.528136437345172,0.828638142472109
24,1486.48087770767,"Successful completion",0.02,0.995609252536987,0.400000000000019,0.527166585903563,0.118664066244232,1e-06,0.0968634218992418,0.543132595337591,2,0.549729058847934,0.815667180127419
25,1441.73460860677,"Successful completion",0.00471303035056253,0.995771400453194,0.415256714864719,0.380469452271393,0.0327059778507727,9.97050297036997e-07,0.0846845402038862,0.585162879090524,1.49770602927496,0.528111176640518,0.830588472339641
