"id","Value","Convergence","alpha_w","alpha_m","prev0_epidemic","prev0_endemic","freq0","phi_w","phi_m","a","b","r","tau","sigma_prev","sigma_g","sigma_q"
1,1594.27982734082,2,0.00323633133058591,0.0186290200976604,0.00424060899069414,0.99608019222184,0.416015052603799,0.346930959244592,0.0291033436543919,9.99998595419751e-07,0.0494148239598245,1.60234166576493,1.07864417776272,1.50774552314601,0.521891636670772,0.825449096520322
2,1560.21477264679,0,0.000581463090217651,0.00239200148994461,0.00875618422954176,0.997197785753717,0.401033625573793,0.374269920334009,0.0480579050485503,9.99929778348228e-07,0.0660822893625411,3.66371315388612,1.12314330168534,1.63964680276766,0.651648878080382,0.822786544369054
3,1474.53853846884,0,0.00379034367774909,0.0218105827198894,0.0018713366799778,0.993625562646943,0.483751425531118,0.382576654272227,0.0144326293804961,9.99854327314959e-07,0.0497797829044325,4.99982152914984,1.24713221688644,1.49817134584621,0.519095170810727,0.947013285100761
4,1718.95354650524,2,0.00180671557799745,0.00820609775986664,0.00424060899069414,0.99608019222184,0.401291352822203,0.346930959244592,0.0291033436543919,9.99812226039897e-07,0.0494148239598245,1.60234166576493,1.07864417776272,1.99900585049096,0.521891636670772,0.825449096520322
5,1596.06980950794,2,0.00378231297650416,0.0172617939895277,0.00424060899069414,0.99608019222184,0.416015052603799,0.346930959244592,0.0291033436543919,9.99812226039897e-07,0.0494148239598245,1.60234166576493,1.07864417776272,1.50774552314601,0.521891636670772,0.825449096520322
6,1671.82251443647,2,0.00275375390365011,0.0146094721857787,0.00424060899069414,0.99608019222184,0.416015052603799,0.346930959244592,0.0291033436543919,9.99999465590108e-07,0.0494148239598245,1.60234166576493,1.07864417776272,1.50774552314601,0.521891636670772,0.825449096520322
7,1665.13890495227,0,0.000117416760553196,0.000870211679461232,0.00182555733832348,0.99889411780149,0.400125848213056,0.242821520405009,0.0147988349169954,8.71625817454654e-07,0.0639829078698348,4.05673327899516,1.39005405810129,1.88351030646509,0.617331913865761,1.03660487957829
8,1546.06839551735,0,0.00109433520812533,0.00959088663520802,0.00104940983784875,0.996262940019335,0.400000000001952,0.173226634306191,0.00769539420488231,9.99999999999998e-07,0.0242612730744484,1.13936208609059,3.99999903365356,1.42632060625525,0.690271756857859,0.875523874514683
9,1455.36962084939,0,0.0034356881735841,0.0129985736735624,0.00211663352624168,0.994958773472947,0.400023928983406,0.278907039660035,0.0197469310146753,9.99522059716414e-07,0.0412735547817276,2.42492591871609,1.71672271276195,1.42239323424609,0.56863606378704,0.845343875576922
10,1569.62858363479,0,0.00312036931699522,0.0143222228210051,0.00145807182280818,0.989067854115545,0.434891039828507,0.347472286207549,0.0122923160759441,9.99963445948458e-07,0.0448251837129147,4.04349459019512,1.59753679131809,1.70135286342582,0.562165719825572,0.981679877891091
