"Start","Value","Convergence","prev0_epidemic","prev0_endemic","freq0","phi_w","phi_m","b","r","tau","sigma_prev","sigma_g","sigma_q"
1,1506.28959194688,"Maximum number of evaluations exceeded",0.00281652871927914,0.995255942473773,0.400000000003124,0.443673148576725,0.0375991124277869,0.199999095366685,1.18033509740758,3.56813429890849,2,0.538443952471532,0.920588982966465
2,1493.31635913279,"Successful completion",0.02,0.995338817913511,0.416871729625622,0.600613285966569,0.133300831123273,0.199999988142431,1.06008401449799,3.99998811065247,1.53664646818271,0.573409617754174,0.854771977084946
3,1519.04306367283,"Successful completion",0.0199999999975264,0.995304500165659,0.4,0.6123540674817,0.13567932086245,0.199999900640583,1.07767209240443,3.9999998303794,2,0.573234554939687,0.857689098448778
4,1519.03938851077,"Successful completion",0.0199999998900185,0.995304462101661,0.4,0.612305213052686,0.135707712900784,0.199999999997638,1.0776328123484,4,1.99995550851304,0.573205257459448,0.857630203238366
5,1563.70513685191,"Successful completion",0.0199353021713675,0.995406674987776,0.435386828731405,0.596821327671812,0.110861399154985,0.096580059530232,4.9999996946058,3.96427854915242,1.63809186604947,0.62968365039304,0.869580865345483
6,1484.9617747055,"Successful completion",0.00608882831759226,0.995062120769711,0.400000000000006,0.509432672102716,0.0496831595997837,0.172944848424429,1.25823844812835,3.99999814368123,1.46032045795935,0.531135695047702,0.911949453753816
7,1477.09429275622,"Maximum number of evaluations exceeded",0.0030876870750886,0.995116658359441,0.413942781890633,0.437102061351787,0.0400388249511558,0.198532385466122,1.1486189590292,3.84550879339167,1.48982740635669,0.543051980929357,0.908315453297793
8,1481.22400044149,"Successful completion",0.00104368860192586,0.994932513013383,0.41543365599615,0.380562251405761,0.0264538924508803,0.188662645041386,1.23937958655052,3.99999999999992,1.51392053992989,0.528639349810213,0.928700910582901
9,1552.44838459375,"Successful completion",0.0199999972493692,0.995270426750744,0.400000000254143,0.999996736751181,0.113320481205161,0.1999999998868,1.13393702129822,3.05269923795919,1.51859221638309,0.569245689367424,1.05994035035887
10,1688.72537062512,"Successful completion",0.02,0.995578540357601,0.431864967266671,0.608352230381786,0.121822483058933,0.0919852800766695,5,3.99996300663873,1.56106017393127,0.643366828290694,1.99997603982691
11,1576.81567918059,"Maximum number of evaluations exceeded",0.0197763979261219,0.995467614321341,0.431841711062126,0.619355653453921,0.110621332717017,0.101547361374291,4.99815097474988,3.82446218633649,1.9882615556178,0.593295325628814,0.83884643064224
12,1651.71775357414,"Successful completion",0.00501037337177688,0.994567890497574,0.599999994914879,0.387688140443392,0.0362354956442507,0.198217433033774,1.21868610617626,2.74734398567016,1.49467997978165,0.769448845818267,1.00406755732961
13,1491.07629649009,"Successful completion",0.0164431900457264,0.995380594738746,0.415033971208605,0.582657943310268,0.110488907993737,0.190348266897684,1.10998803099149,3.9977864281188,1.5049542215678,0.570688774461491,0.857713912891687
14,1476.49589641667,"Successful completion",0.00319574497275063,0.995206692513772,0.418311097829533,0.439245915985614,0.037419759070417,0.182818363904527,1.22545905705927,3.99645050673454,1.50215951625167,0.540683896889871,0.903887848764527
15,1556.70683225215,"Maximum number of evaluations exceeded",0.0194045621426733,0.995296586979552,0.403377818024754,0.533610351556402,0.163284056164526,0.140572728928764,1.61967856019791,3.75282736305278,1.48605990264758,0.616592242844548,0.974162353374436
