"Start","Value","Convergence","prev0_epidemic","prev0_endemic","freq0","phi_w","phi_m","b","r","tau","sigma_prev","sigma_g","sigma_q"
1,1595.56462887596,"Successful completion",0.00100000000004523,0.996165994421177,0.400000000013089,0.275389579085151,0.0169971983542331,0.0374594165894559,1.55213578122963,3.99997429668372,1.53086889297931,0.525531248807369,1.99999999944233
2,1457.86157356307,"Successful completion",0.00100452844923082,0.996071794200152,0.400000000000182,0.304339863108145,0.0133716967789881,0.0424326499080737,2.82713469859607,2.59561640246696,1.53836165181974,0.530050791736022,0.845841667942399
3,1491.91129902212,"Successful completion",0.0199999999979431,0.996010971089454,0.400005921062493,0.483916356639378,0.12954568513514,0.0443446749104392,1.19359705795547,3.9999999938174,1.59132188489767,0.568798420742381,0.821584610503034
4,1488.78740690686,"Successful completion",0.0199998871892065,0.994931338524009,0.400000000247848,0.478370263190974,0.152863570870444,0.0621586876190665,1.11399779133498,1.88830295807844,1.64505272076452,0.558579896066776,0.871176971169938
5,1692.33675191072,"Successful completion",0.00160922657713061,0.996036064953752,0.445220816100489,0.000257181474072919,0.0116954506747289,0.0394957259549099,4.99999999998048,3.85960349383793,1.58082922940303,0.623849400028366,1.38857751033452
6,1601.08050265175,"Successful completion",0.0192319564584264,0.992729305650601,0.417707172606604,0.837824438591342,0.809936334544747,0.197733824363791,0.767883004224325,3.99606094381364,1.57149426782531,0.576719846300413,1.18289331944397
7,1445.60665909962,"Successful completion",0.00389767459821844,0.99582667632391,0.417849489347579,0.407834549135752,0.0276659028933106,0.0585418285735029,4.95568273363919,1.41346869590716,1.50398618723864,0.537317250334016,0.821054084471574
8,1610.53314215699,"Successful completion",0.001,0.995814205617025,0.400000758545566,0.350502647392993,0.038855965609337,0.168405637157431,0.776201084536641,0.5,1.99849402002964,0.503061465898534,1.9999987745586
9,1482.85869804673,"Successful completion",0.00101967969844062,0.995890448683524,0.400002102817886,0.330152807461215,0.0137350932372756,0.0542030727579707,5,1.66272173665937,1.99999966384711,0.532056639995489,0.846577269654903
10,1627.14124570864,"Successful completion",0.00362203424008048,0.995535859113441,0.599999408866784,0.331982716332386,0.0183828326359386,0.055654469616127,3.16664587970197,1.44150865477549,1.49855359308927,0.767856902304802,0.937271998909943
11,1618.62705620422,"Maximum number of evaluations exceeded",0.01999999999579,0.995846179090456,0.400025247361958,0.990192629673078,0.115375152514323,0.11636398518092,0.832038908228457,0.693941820565549,1.52136055593146,0.534300005860468,1.99999909349266
