"Start","Value","Convergence","prev0_epidemic","prev0_endemic","freq0","phi_w","phi_m","a","b","r","tau","sigma_prev","sigma_g","sigma_q"
1,16245.7782036372,"Successful completion",0.00179265796223527,0.950000928181309,0.599999412301299,0.7081245138357,0.738190604673004,1.91140295285786e-07,0.128533611586426,0.740210116974959,1.65841480910777,0.779276616854735,0.703269794592908,0.758264140236509
2,17245.3148110082,"Successful completion",0.0199213072658514,0.986938012505574,0.489020237597506,0.42262042917833,0.458443506632094,9.97721840469714e-07,0.0631936788301075,4.59370522809513,3.99998907370681,1.99743282736941,0.568576085570696,0.651257933059749
3,12042.1037122395,"Successful completion",0.0199999999996712,0.991739430484818,0.400000003803483,0.239538359640945,0.0317569617771197,7.67229218868149e-09,0.132213329218553,1.14241082488972,0.500125790927324,0.523569135714057,0.580392174260452,0.571518740195664
4,17200.6223911854,"Successful completion",0.00100642818323674,0.987500240324264,0.490274570592578,0.422888109036925,0.449275084638767,8.5827042621027e-07,0.0611059189221802,2.15369834310181,3.9999999999978,1.99999817826689,0.56827538795551,0.656152856879785
5,10941.0901707831,"Successful completion",0.00829401232978643,0.992763899999871,0.491583762709408,0.132313128923892,0.0134396515719997,9.99982405277729e-07,0.0813594079548129,1.49466109422612,0.500010157099772,0.536756188496346,0.509913319139655,0.504365716816244
6,13620.4254880715,"Successful completion",0.00538925653427187,0.990411105604943,0.489172159880364,0.247385231822578,0.30120670901543,9.99931448136679e-07,0.100261018687002,0.937446057539505,0.546788957503726,0.515143528334738,0.577976512834098,0.819911637672647
7,10588.2497641547,"Successful completion",0.00762223887706325,0.991560235750759,0.488795141145466,0.17606306097861,0.0175238695813172,4.13572709395034e-09,0.0759435492841956,1.55005953571094,1.72976748493783,0.504892927301827,0.501856347219234,0.500519133527084
8,10641.2922669446,"Successful completion",0.0199642865870315,0.991021801554573,0.493273770688458,0.192552758330022,0.0191465049123315,6.31181775087712e-09,0.118869113565319,4.99999999995875,0.500000088418309,0.511995780639479,0.50492821613838,0.501715335923135
9,15145.2432804803,"Maximum number of evaluations exceeded",0.00100049998186081,0.951116374720633,0.46010754518493,0.830752024079365,0.843136378415549,8.2448784200625e-08,0.151528253124993,0.737267364077868,3.99795966116922,0.780128634569033,0.579589099984877,0.7195259185125
10,17218.1905427695,"Successful completion",0.00693619462573726,0.987111042756934,0.464662136927058,0.465125874851725,0.499650790583216,1.08772135259879e-08,0.180961624961297,0.872903531007894,0.660016240278947,0.501603442729307,1.99960297486987,0.801922371286336
11,15134.0352739019,"Successful completion",0.00392017738824114,0.991858552959254,0.489804937669706,0.121508270689009,0.0117738013985325,9.99966588223163e-07,0.0927797673269734,4.25551970669873,0.500005638635546,1.99999075332987,0.506766877570957,0.507260716075703
12,14086.6482011183,"Successful completion",0.00108666459870906,0.988029174096724,0.485921848015429,0.323086305389469,0.362116226397465,3.76852699471936e-08,0.0937152416735833,4.99999677119198,0.977576358637052,0.608319145227298,0.569684365304417,0.762994210632779
13,17247.8367175206,"Successful completion",0.0199998387145174,0.987314565709376,0.488850584314382,0.413255537799409,0.453166116590905,8.41876980507269e-08,0.0626447662289258,2.50005244593131,3.95372455124631,1.99998656417177,0.568216640333327,0.656008886060558
14,14850.0903334209,"Successful completion",0.019999988543497,0.979993065099656,0.455935469333108,0.720172016195385,0.748326146515142,4.832077089306e-09,0.183433788699686,0.880602102176901,3.99998789662831,0.67075089229208,0.58276878524699,0.759390648472761
15,16420.9168265927,"Successful completion",0.00139674532072168,0.950000000238591,0.402659583576614,0.757621548645128,0.769132802986432,9.99999990078699e-07,0.110522703354491,0.738092004899507,3.06317324675828,0.923376123503275,0.638852157436415,0.753334387002115
16,14142.1697248951,"Successful completion",0.0199993838867089,0.987223178591401,0.479840402630237,0.3738626172556,0.420314105401014,9.96456851218733e-07,0.136785185913773,4.92095946169216,0.507009078177683,0.595207322492107,0.57557476301382,0.7859540283291
17,13824.1647030342,"Successful completion",0.00210397021056421,0.985987133835495,0.496059223900633,0.451085572355678,0.491330488914444,3.64083589180575e-09,0.0850394748839885,4.98269346266717,3.96261791932134,0.60760075843106,0.545370605132202,0.747615853408247
18,13635.6013356545,"Successful completion",0.0141238877164125,0.987828554806031,0.486544136254554,0.325189381536473,0.388264186399772,6.20363394544792e-09,0.10904105334218,4.99999999946446,0.942408510125574,0.525073942615523,0.572867827217253,0.796497843384058
19,14168.2958521354,"Successful completion",0.0147152405632018,0.979503628090601,0.480053760950687,0.623437085220614,0.660712022588284,6.17423308779627e-07,0.154998027141792,0.739905913433369,0.626430935334616,0.584943531818015,0.572956162956897,0.805091362599257
20,15267.5670204635,"Successful completion",0.0199923073195197,0.984634179175254,0.599824038338282,0.337444183892862,0.464459690629438,1.62861626991859e-09,0.171572077721029,1.19521699260822,2.64300718282435,0.559078395182129,0.652265985678798,0.927883957082218
21,13676.6685143691,"Successful completion",0.00485488917957806,0.987812930777332,0.482785629941431,0.328426771483445,0.371957702570616,9.99995476726453e-07,0.13328098619729,4.93068831929437,0.500003034560378,0.536000804797183,0.572124927396427,0.796351650447757
22,14144.4840518462,"Successful completion",0.0179119625248603,0.984555782824512,0.459021382958541,0.570757191938326,0.604042816961943,9.99996237362919e-07,0.143802700395957,0.740986935622327,0.593132821792428,0.592828934141227,0.585776783934944,0.754405793051521
23,13793.31050402,"Successful completion",0.0198017428511151,0.987256668290696,0.483509410914655,0.436984143395948,0.484917632686342,9.57516307326581e-07,0.12800513508761,0.743616599171917,0.506802402324056,0.544304305455296,0.572864039449452,0.798597215306401
24,16156.6593793667,"Successful completion",0.00194116667760802,0.950000192143402,0.499305053583497,0.5653047112903,0.596234052077411,5.84576762675123e-07,0.151522826673493,4.99989980786837,0.721150911359811,1.04363281954805,0.557362127992062,0.763724203055808
25,12649.12001376,"Successful completion",0.00770379620876317,0.993031745161452,0.599998468584253,0.0858729770257561,0.00729598436671828,3.36042415724574e-07,0.0595347183553899,1.28158264326639,0.713949879729817,0.545343358549657,0.599953179699504,0.593805319392883
26,12267.24822527,"Successful completion",0.0199982630781775,0.993060210397231,0.493338792046589,0.161169311433799,0.0168622881261949,9.99998049017821e-07,0.0669800041638459,0.777080162140846,0.500000443617955,0.809508794720991,0.642296285555405,0.535459089266906
27,13397.5227996319,"Successful completion",0.00755821040991082,0.988612364201689,0.485540419171466,0.313379062954955,0.371753382353185,1.98348110439162e-09,0.0859039303145467,4.99999994315791,3.99514655825475,0.515328480960574,0.568539080755808,0.786064591822393
28,13627.9206569168,"Successful completion",0.0199995501454352,0.988704180937394,0.481130679539231,0.29658183254364,0.36482120909029,1.62150593266322e-09,0.0965629698602104,4.00407392954305,3.40878852900223,0.523275168808726,0.572721703024134,0.805841668983409
29,14507.0265373244,"Successful completion",0.0122258312638416,0.987154357309892,0.586775636239886,0.358817777321662,0.437695824064826,9.98297673406159e-07,0.115704165816384,0.777989492019954,0.520837067587625,0.519077626181474,0.630658933741635,0.937023689794869
30,20615.3064962444,"Successful completion",0.0186746238357337,0.990251638940411,0.475236376475395,0.659527627895662,0.683876669533271,9.98933050991469e-07,0.0792356662143294,0.738531890144196,3.99868760949144,1.99999997223964,0.646618272493372,1.99736215994376
31,17327.5026215395,"Successful completion",0.0162868692012929,0.975682315771979,0.486430075696053,0.79596510869617,0.817012674463329,2.31407900333173e-08,0.170593212442334,0.745349193530021,3.88894552393046,1.99999995588924,0.567823318658959,0.678959277908598
32,10937.8754327243,"Successful completion",0.00701448908821426,0.990012310253815,0.479647278095018,0.178321369197571,0.0226918319785192,4.60501316255216e-09,0.196597607708944,0.994587501279869,0.500000010814578,0.521087652785093,0.483735006293526,0.548189347254179
