"Start","Value","Convergence","prev0_epidemic","prev0_endemic","freq0","phi_w","phi_m","a","b","r","tau","sigma_prev","sigma_g","sigma_q"
1,1459.79439510717,"Successful completion",0.0199999844069007,0.996113519304717,0.411891908600296,0.492860774427658,0.116424947358358,6.22770833146126e-07,0.0488448151970721,0.7952378032841,1.13624926423952,1.5694482164247,0.551268310219421,0.802425454169386
2,1487.07309238679,"Successful completion",0.0199999348426464,0.995573811092339,0.4,0.530165962838806,0.118368788338773,9.99999999999973e-07,0.10394170769761,4.95121734044424,0.50000008387042,1.99999872258998,0.549393641301614,0.817334162564441
3,1606.99814800499,"Successful completion",0.0199982302466689,0.99435750405398,0.40000031886773,0.672732706537695,0.639929710826476,9.9999992353903e-07,0.0736217369053416,4.99642750820736,3.99543022222626,1.68104957356457,0.589185301862515,1.05697948171125
4,1672.44304954415,"Successful completion",0.001,0.993298670538094,0.41542484564087,0.606894336853113,0.575758832009074,9.99999999999998e-07,0.2,5,0.500001859695689,1.69777703752519,0.594011040569467,1.27416671848599
5,1713.03868268704,"Successful completion",0.00142934524072974,0.996139401565487,0.415252506937448,5.58814446192376e-10,0.0114918323567484,4.77981225538107e-08,0.033711961483563,4.7031237393855,3.9992161634978,1.68561533967364,0.585511988928097,2
6,1494.86344094785,"Maximum number of evaluations exceeded",0.02,0.995413693787214,0.4,0.607642194954893,0.139480742244767,1.04842568190114e-09,0.199679432548238,1.02671240527228,3.99999999112591,1.54249927287388,0.571078028783418,0.859601905596072
7,1442.37794169434,"Successful completion",0.00490559323227842,0.995763703484933,0.400221708909203,0.397084460563537,0.0342523091930813,6.97932522220176e-07,0.094213628414991,2.99307141933571,0.501293512743419,1.50350895398584,0.521566742952767,0.846323938247301
8,1462.99607841372,"Successful completion",0.0199893048266358,0.995640369600099,0.400070787334205,0.530164866829597,0.117880485702632,9.47696232216548e-07,0.0960514463639142,3.99140439593584,0.539732153909014,1.53627155792751,0.548583553751153,0.818790371258728
9,1472.55251369641,"Successful completion",0.00505408260609325,0.995692952174822,0.400003347649297,0.395052873996278,0.0356315560313797,9.91314530056655e-07,0.0966053621744032,4.999998693329,0.508012047680155,1.99999999947975,0.52731317719935,0.839835298571865
10,1474.84070078274,"Successful completion",0.0174830733851508,0.995871112637087,0.423685536553288,0.523278088210099,0.102426805181166,4.09971149767647e-09,0.0539112155427613,2.05273566996716,3.99992872451003,1.5048604868648,0.576630218403779,0.803293389973175
