"Start","Value","Convergence","prev0_epidemic","prev0_endemic","freq0","phi_w","phi_m","a","b","tau","sigma_prev","sigma_g","sigma_q"
1,1795.74434579539,"Successful completion",0.0199923367051826,0.995978746970438,0.406665563042195,0.48843190206778,0.0994633707577921,1.05444963064489e-08,0.054056978412628,2.32844191711082,1.54551210249397,1.98900816326835,0.795781095999187
2,1455.97702503215,"Successful completion",0.0175005123622547,0.99606497168814,0.412561827033392,0.484185184668418,0.103164704946066,9.92598828006676e-07,0.0570625350659904,0.899605548124362,1.52693059093117,0.542560979502411,0.826352145979856
3,1465.62749016036,"Maximum number of evaluations exceeded",0.0171659078600654,0.996177727566352,0.400000000000067,0.491357842627155,0.106702305702478,3.06681824499262e-08,0.0488867374782889,1.59634264212062,1.53775554090579,0.547312408433401,0.823470936698132
4,1481.04874270327,"Maximum number of evaluations exceeded",0.0145044155699449,0.995380349660349,0.400000812701405,0.453190879526954,0.0915052214164023,1.10617775642844e-07,0.048221858532969,1.25459814408988,1.99994192383973,0.543377950552123,0.83604645217773
5,1481.30681264964,"Successful completion",0.0199991815788521,0.995956463222603,0.418940269148347,0.504127600985041,0.114571545924746,9.44607375137074e-07,0.0571291722519114,0.934917336070735,1.99849394132859,0.547310476209034,0.804832379630098
6,1487.40428416165,"Successful completion",0.013819159590543,0.995648076606984,0.411468865354912,0.529898419541682,0.103483951055964,2.04213004354607e-09,0.118809494967235,3.91922362363277,1.5318659254299,0.563600852899716,0.859511045454719
7,1458.32133923794,"Successful completion",0.0198838939076559,0.995966696876353,0.419135088600959,0.505049531993691,0.113379714121494,8.10272094169003e-07,0.0565546186212357,0.933502426747677,1.5397553537326,0.547871661843244,0.806942037714285
8,1483.19991779263,"Successful completion",0.0148176517713791,0.995907600482826,0.400000001183842,0.494983385733948,0.0923895415760042,9.71983258408551e-07,0.0826199901147683,0.513552029239979,1.51613723454819,0.540579258161709,0.908150097603455
9,1656.05571599614,"Successful completion",0.0100331168619916,0.995293459709234,0.414206236697533,1,0.0530280308494808,4.42370808313335e-09,0.199995912917355,0.500000000000001,1.99999998601713,0.525030614062328,1.99999825690098
10,1460.80334202371,"Successful completion",0.0198310362361457,0.995974220897261,0.400185239001107,0.513768204435316,0.117571222683346,9.98931364070978e-07,0.056850692780676,0.937426076208144,1.5410303530803,0.546956156905289,0.815351057918655
11,1517.41686007419,"Successful completion",0.02,0.995432535451465,0.400000689778748,0.607053408441329,0.141307840291655,1.09480451612637e-09,0.199998772160042,3.99999999997301,1.99960012136839,0.569581109759142,0.855021685308355
12,1483.95996958186,"Successful completion",0.0199999999985479,0.995944263906112,0.400046246937324,0.514360740462158,0.1191321126007,1e-06,0.0574681597748285,0.940277896815375,1.99990048571889,0.546493340975744,0.812712094115605
13,1439.81039941382,"Successful completion",0.00409216089864985,0.99626352014311,0.40000000660063,0.323865080900814,0.0285341011342407,9.98172040094604e-07,0.0357958325283292,1.64801439374802,1.51212969249813,0.522058926152735,0.83062787117307
14,1439.80923762224,"Successful completion",0.00409032392912255,0.996264739669518,0.400000328138436,0.323994454848993,0.0285093773040804,9.99781808493529e-07,0.035789594694039,1.64856007184743,1.51240881335101,0.522106075739497,0.83056014694765
15,1611.52585822449,"Successful completion",0.00100224220744345,0.994603058203299,0.40006394385783,0.622040636572131,0.599252494029792,8.94816961689684e-07,0.0681837380836644,3.99981024674269,1.64151176933563,0.587864322222682,1.11029459534842
16,1636.50496317797,"Successful completion",0.02,0.995812551348775,0.400000000001054,0.588338941000937,0.125141113421045,9.99945746816878e-07,0.0882568108511879,0.50000000000571,2,0.543196928095389,2
17,1467.4497518907,"Successful completion",0.0199989593158476,0.996170441002831,0.400000007063145,0.505461485878648,0.125593714962171,3.71260181832438e-08,0.0547713772621912,1.281434376869,1.50662193035415,0.566333365840135,0.812908310770212
18,1495.57336480346,"Successful completion",0.001,0.995259184621445,0.4,0.368129370446198,0.038361254319444,1.2219651786885e-09,0.199999998005559,4,1.53200670743957,0.548589465052217,0.915897706721946
19,1716.33059373317,"Successful completion",0.0199989394593379,0.993127342992644,0.408158248962858,0.69115216195149,0.638505549832427,9.88137511741766e-07,0.199999999960065,0.500000021641729,1.999901292253,0.595048658368487,2
20,1524.35967887729,"Successful completion",0.0199713131461976,0.995846947399128,0.400000139611607,0.998750803190707,0.109563287490503,9.84930380596565e-07,0.0853458839660244,0.500348057118257,1.53944834929952,0.544336353710007,1.0073875124374
21,1957.75560625545,"Successful completion",0.0199999999999503,0.99297975742687,0.425425508034053,0.713894127046129,0.663207755637424,9.9999591831011e-07,0.199999999043706,0.500137709593581,1.99996457491338,1.99945289208394,1.19908729298903
22,1500.96103478044,"Successful completion",0.0157284790261858,0.995364976558359,0.426744774346174,0.498051351023489,0.0913967097002436,1.50726096309748e-07,0.0890494974094616,0.500189678134606,1.9444267207431,0.548451731120105,0.859634392413647
23,1497.66343056596,"Successful completion",0.0199999999748752,0.995753757775272,0.419764810649665,0.532773323649092,0.116455422778801,9.99999987963213e-07,0.0895506197478468,0.500013509317483,1.99984191399975,0.54151616953732,0.839815349829368
