"chemostat","time","prev0","wildtype","cI857","coinf","suscept","cI857col","prevalence","g","logit_g","logit_prev"
"chem1",1,1,158,180,4,49658,"CFP",0.00676054084326746,0.532544378698225,0.130361817863244,-4.98986888890586
"chem1",2,1,262,237,4,49497,"CFP",0.00998079846387711,0.474949899799599,-0.100284362625966,-4.59706124490804
"chem1",3,1,225,261,3,49511,"CFP",0.0097205832349941,0.537037037037037,0.148420005118273,-4.62374152219081
"chem1",4,1,165,1170,3,48662,"CFP",0.0267016020961258,0.876404494382023,1.95881355389122,-3.59596714617928
"chem1",5,1,215,2995,19,47527,"CFP",0.0632674379644047,0.933021806853583,2.63406148242189,-2.69502703346125
"chem1",6,1,207,6897,27,42869,"CFP",0.142156764652913,0.970861486486487,3.50612302016592,-1.79749094831252
"chem1",12,1,1348,41376,496,6780,"CFP",0.863041370394312,0.968448647130418,3.42407899009933,1.84078372127515
"chem1",14,1,3263,44688,182,1867,"CFP",0.962523585852503,0.9319513670205,2.61705799159164,3.24584679160975
"chem1",15,1,1704,46238,528,1530,"CFP",0.969073415265201,0.964457052271495,3.30082354242642,3.44472421154687
"chem1",24,1,2070,36460,791,10679,"CFP",0.782986851998618,0.946275629379704,2.86866716197324,1.28315796244866
"chem1",28,1,5892,28831,1497,13780,"CFP",0.715893862235326,0.830314200961898,1.58785569853926,0.924184026003848
"chem1",30,1,5577,31922,813,11688,"CFP",0.762376237623762,0.851276034027574,1.74464442985295,1.16575159150574
"chem1",31,1,5416,30490,518,13576,"CFP",0.725637605593953,0.84916169999443,1.72804122539019,0.972600884516712
"chem1",32,1,4648,31840,330,13182,"CFP",0.734608415542581,0.872615654461741,1.92428634142657,1.01813117677887
"chem1",33,1,4800,32697,236,12267,"CFP",0.753496503496504,0.871989759180735,1.91866741266144,1.11734819972558
"chem1",34,1,4332,32152,183,13333,"CFP",0.732360439207499,0.881263019405767,2.00444532800816,1.00663164318459
"chem1",35,1,4062,33699,182,12057,"CFP",0.757979043719138,0.892428696273933,2.11579270016935,1.1416314198423
"chem1",36,1,4102,34642,192,11064,"CFP",0.777867009315773,0.894125542019409,2.1335921590979,1.25327931073847
"chem1",37,1,3809,35247,534,10410,"CFP",0.789552419843933,0.902473371569029,2.22501373175708,1.32222963102373
"chem1",38,1,3890,35361,493,10256,"CFP",0.792837376532612,0.900894244732618,2.20720036028219,1.34211402143256
"chem1",39,1,4193,34692,459,10656,"CFP",0.784905431864516,0.892169216921692,2.11309264463358,1.29448545834887
"chem1",40,1,4462,35089,531,9918,"CFP",0.799510804746407,0.887183636317666,2.06229059503108,1.38323969027714
"chem1",41,1,4700,36333,486,8481,"CFP",0.828715110877732,0.885458045963005,2.04516391049101,1.57654825363289
"chem1",42,1,5045,37172,604,7179,"CFP",0.854664345291117,0.880498377430893,1.99715813588952,1.77166288592982
"chem1",43,1,5661,37514,681,6144,"CFP",0.875423264867495,0.868882455124493,1.89111364158363,1.94978562818737
"chem1",44,1,6761,36821,973,5445,"CFP",0.888938748036796,0.844867146987288,1.69489752648022,2.07994646468981
"chem1",45,1,6653,37991,897,4459,"CFP",0.909190884467344,0.850976614998656,1.74228140880985,2.30379539414813
"chem1",46,1,6971,39023,891,3115,"CFP",0.936569671546967,0.848436752619907,1.72239252938472,2.69228180095971
"chem1",47,1,6844,39851,754,2551,"CFP",0.948198838484344,0.85343184495128,1.76177514299431,2.90715165340201
"chem1",48,1,7179,38843,890,3088,"CFP",0.93712074933822,0.844009386815001,1.68836778280473,2.70159591086585
"chem1",49,1,7589,36713,959,4739,"CFP",0.90336657082849,0.82869847862399,1.57643108534968,2.23520367977342
"chem1",50,1,7502,37377,1245,3876,"CFP",0.920500461491129,0.832839412642884,1.60588589032514,2.44916628529775
"chem1",51,1,7727,36996,1129,4148,"CFP",0.915123488367334,0.827225365024708,1.56608910974057,2.37786162030824
"chem1",52,1,7240,38454,1068,3238,"CFP",0.933826534782964,0.84155468989364,1.66984151535252,2.64701114299685
"chem1",53,1,6906,40422,886,1786,"CFP",0.963635623243882,0.85408215010142,1.76698359223878,3.27712360407408
"chem1",54,1,7229,37385,1804,3582,"CFP",0.925678479541871,0.837965661003273,1.64316884043372,2.52212640747607
"chem1",55,1,6533,40419,1280,1768,"CFP",0.963711001642036,0.86085789742716,1.82243371558321,3.27927683904058
"chem1",57,1,6799,39277,1164,2760,"CFP",0.943484314849701,0.852439447868739,1.75386356327983,2.8150615273352
"chem1",58,1,6866,38293,1473,3368,"CFP",0.930595338677437,0.847959432228349,1.71868541682304,2.5958704991664
"chem1",59,1,7478,38380,1522,2620,"CFP",0.94595486612484,0.83693139692093,1.63557111402463,2.8623753477158
"chem1",60,1,7438,37052,1605,3905,"CFP",0.919309846058477,0.832816363227692,1.6057203358889,2.4330066615263
"chem2",1,1,80,94,3,49823,"YFP",0.00348020881252875,0.540229885057471,0.161268147596122,-5.65717670456909
"chem2",2,1,84,97,0,49819,"YFP",0.00362,0.535911602209945,0.143894179660069,-5.61765468508876
"chem2",3,1,91,116,1,49792,"YFP",0.00414008280165603,0.560386473429952,0.242730684589515,-5.48289081427269
"chem2",4,1,124,264,1,49611,"YFP",0.00776015520310406,0.680412371134021,0.755667537541279,-4.85096252269503
"chem2",5,1,115,1186,3,48696,"YFP",0.0260215612936776,0.911606456571868,2.33340945119442,-3.62246369166126
"chem2",6,1,121,4978,9,44892,"YFP",0.101998359704747,0.976269856834673,3.7169929373308,-2.17521516308099
"chem2",7,1,112,9854,41,39993,"YFP",0.199483576532757,0.988761790086293,4.47713387180881,-1.38952513894044
